"MouseID","Diet","Treatment","Measure","Value","Units","MeasureLabel"
"CDD02.CR.HFHF.4","HFHF","CR","BUN",285.6716667,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFHF.4","HFHF","CR","sCD14",231873.1792,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IFN-y",0.479684175,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-1B",10.86832383,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-2",0.068923416,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-5",0.102317971,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-6",132.8201411,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","KC-GRO",240.5946898,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-10",53.00003186,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","TNF-a",19.46711551,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","BUN",111.7542036,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.1","HFLF","CR","sCD14",150140.8696,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IFN-y",0.954924605,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-1B",6.09792519,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-2",2.400465496,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-4",0.676941229,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-5",4.110112894,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-6",1459.81394,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","KC-GRO",516.5075141,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-10",12.97711838,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-12p70",8.099873665,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","TNF-a",27.5927854,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","BUN",135.3647719,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFLF.3","LFLF","CR","sCD14",175909.3148,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IFN-y",0.96675191,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-1B",3.581191719,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-2",0.720491263,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-4",0.445342712,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-5",3.587030027,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-6",236.5155744,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","KC-GRO",229.3771412,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-10",15.64569647,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","TNF-a",28.20406158,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","BUN",46.41085385,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.5","HFLF","CR","sCD14",97830.85385,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IFN-y",1.139622382,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-1B",5.050715962,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-2",1.247436359,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-4",1.263808503,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-5",8.497112869,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-6",133.8303942,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","KC-GRO",689.5926687,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-10",23.73808499,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-12p70",1.374305707,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","TNF-a",27.10327346,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","BUN",181.187676,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.4","HFLF","CR","sCD14",250909.566,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IFN-y",0.383589796,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-1B",9.1370758,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-2",0.153471113,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-4",0.185845301,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-5",0.677331289,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-6",466.673396,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","KC-GRO",1997.362787,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-10",48.18693619,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","TNF-a",46.25867539,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","BUN",54.43602656,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFHF.2","LFHF","CR","sCD14",184480.1367,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IFN-y",1.27386502,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-1B",8.179060344,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-2",1.813925328,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-5",2.848018704,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-6",1002.742378,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","KC-GRO",744.0712999,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-10",30.50202042,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-12p70",10.14249227,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","TNF-a",23.90670246,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","BUN",106.0819071,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","sCD14",354050.2339,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IFN-y",0.684981779,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-1B",11.97028029,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-2",3.71165147,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-5",4.32383582,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-6",5941.249864,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","KC-GRO",675.9005804,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-10",105.0580315,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","TNF-a",42.92488916,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","BUN",56.02926848,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFHF.1","HFHF","CR","sCD14",90396.40109,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IFN-y",0.50966127,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-1B",4.046846478,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-2",0.544817908,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-5",3.960220213,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-6",81.27091413,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","KC-GRO",195.053062,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-10",12.96381666,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFHF.1","HFHF","CR","TNF-a",17.12656912,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","BUN",183.858075,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","sCD14",204253.6644,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IFN-y",0.186053703,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-1B",5.808877115,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-2",0.502502269,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-5",0.719256979,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-6",503.4695846,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","KC-GRO",695.2820725,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-10",14.37872965,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.LFLF.5","LFLF","Tc","TNF-a",22.01189753,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","BUN",152.7986769,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","sCD14",447469.4769,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IFN-y",2.505385087,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-1B",51.43922392,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-2",3.270787648,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-5",11.49649951,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-6",11796.61215,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","KC-GRO",4510.242516,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-10",66.22558279,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.HFLF.4","HFLF","Tc","TNF-a",53.70448031,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","BUN",98.78878929,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFHF.2","HFHF","CR","sCD14",100954.2589,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IFN-y",0.02020846,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-1B",18.45894436,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-2",1.170497433,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-5",2.574439407,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-6",153.4610914,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","KC-GRO",437.8660066,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-10",25.64332273,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFHF.2","HFHF","CR","TNF-a",28.21090922,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","BUN",106.2291625,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFLF.4","LFLF","CR","sCD14",141096.1469,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IFN-y",0.626528663,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-1B",7.348827083,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-2",1.491319405,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-5",4.206353258,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-6",232.9703963,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","KC-GRO",388.1804599,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-10",14.64934157,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","IL-12p70",1.002509156,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFLF.4","LFLF","CR","TNF-a",28.68192129,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","BUN",96.57194545,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFLF.5","LFLF","CR","sCD14",95912.87955,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IFN-y",0.02020846,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-1B",3.472670758,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-2",1.533717329,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-5",2.36278805,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-6",204.9652085,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","KC-GRO",360.4510035,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-10",14.78905872,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFLF.5","LFLF","CR","TNF-a",14.33639034,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","BUN",109.52991,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","sCD14",562688.97,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IFN-y",0.344341124,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-1B",10.1863248,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-2",0.034461708,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-5",0.844734155,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-6",1809.435992,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","KC-GRO",2724.231997,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-10",42.75037977,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.LFLF.2","LFLF","Tc","TNF-a",43.04371317,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","BUN",64.55325682,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFLF.1","LFLF","CR","sCD14",140752.6568,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IFN-y",0.727394514,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-1B",6.541367818,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-2",1.565810233,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-5",10.82827332,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-6",339.5138036,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","KC-GRO",524.5037332,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-10",26.73085319,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","IL-12p70",0.916902985,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFLF.1","LFLF","CR","TNF-a",23.55620211,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","BUN",317.4498,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","sCD14",310319.3925,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IFN-y",1.182645338,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-1B",13.6156556,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-2",2.706961085,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-5",12.12675472,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-6",220.008457,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","KC-GRO",755.121229,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-10",34.7217458,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.LFLF.1","LFLF","Tc","TNF-a",44.0227291,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","BUN",49.72586786,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","sCD14",72411.01964,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IFN-y",0.775476336,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-1B",4.059795524,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-2",0.660461338,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-5",5.241363921,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-6",242.4947929,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","KC-GRO",475.5103605,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-10",12.63537064,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.LFLF.4","LFLF","Tc","TNF-a",17.98182275,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","BUN",49.09232,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","sCD14",158022.685,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IFN-y",0.47772514,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-1B",5.515348689,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-2",1.485463198,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-5",1.677617074,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-6",1370.832724,"pg/mL","IL-6 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","KC-GRO",672.9139492,"pg/mL","KC-GRO (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-10",11.55132027,"pg/mL","IL-10 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","IL-12p70",0.017025096,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.Tc.HFLF.5","HFLF","Tc","TNF-a",17.23566778,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","BUN",84.81352941,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","sCD14",176555.8809,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","IFN-y",0.02020846,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","IL-1B",5.631362471,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","IL-2",0.034461708,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","IL-5",0.839166887,"pg/mL","IL-5 (pg/mL)"
"CDD02.Tc.LFLF.3","LFLF","Tc","IL-6",420.9753306,"pg/mL","IL-6 (pg/mL)"
