group2	Genus	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax	group1_rel_abund	group2_rel_abund	diff_means	stat_diff_means
new_exp_anschutz	Akkermansia	first_set_anschutz	rel_abund	31	50	-3.131652419297032	0.001738255319361995	0.001738255319361995	**	0.24536000000000002		1	2	0.07817359844206871	0.022698088742691518	0.055475509699377194	0.055475509699377194
new_exp_anschutz	Bacteroides	first_set_anschutz	rel_abund	31	50	-5.9218043060068	3.184284131031883e-9	4.776426196547825e-9	****	0.32072		1	2	0.1060396842446843	0.027304368089546432	0.07873531615513786	0.07873531615513786
new_exp_anschutz	Enterococcus	first_set_anschutz	rel_abund	31	50	2.0056378419640257	0.04489490139093965	0.08464344277061475	ns	0.0022400000000000002		1	2	2.4414328021133612e-5	9.686236078496628e-5	-7.244803276383267e-5	0
new_exp_anschutz	Escherichia-Shigella	first_set_anschutz	rel_abund	31	50	3.350217249118693	8.074820183543668e-4	0.0012112230275315504	**	0.0448		1	2	2.375344888698724e-5	0.0016678807713934709	-0.0016441273225064835	-0.0016441273225064835
new_exp_anschutz	Lactobacillus	first_set_anschutz	rel_abund	31	50	6.396196136365303	1.592953634086948e-10	2.389430451130422e-10	****	0.7488		1	2	0.01590833013424254	0.35254071618894417	-0.33663238605470164	-0.33663238605470164
new_exp_anschutz	Muribaculaceae	first_set_anschutz	rel_abund	31	50	2.9798637574762243	0.002883766125540692	0.002883766125540692	**	0.39388		1	2	0.03909537974959245	0.16710365281149	-0.12800827306189755	-0.12800827306189755
new_exp_anschutz	Proteus	first_set_anschutz	rel_abund	31	50	-4.9800087669437225	6.358139291954225e-7	9.537208937931339e-7	****	0.0011200000000000001		1	2	3.3538233530813115e-4	3.4428851121370386e-5	3.0095348418676074e-4	3.0095348418676074e-4
new_exp_anschutz	Staphylococcus	first_set_anschutz	rel_abund	31	50	0	1	1	ns	0.56		1	2	2e-6	2e-6	0	0
second_set_arizona	Akkermansia	first_set_anschutz	rel_abund	31	105	-7.105309271361238	1.2005339395587281e-12	3.6016018186761846e-12	****	0.27290000000000003		1	3	0.07817359844206871	0.006502655621788917	0.07167094282027979	0.07167094282027979
second_set_arizona	Akkermansia	new_exp_anschutz	rel_abund	50	105	-4.286179047904481	1.8177250214197315e-5	2.7265875321295973e-5	****	0.30044000000000004		2	3	0.022698088742691518	0.006502655621788917	0.016195433120902603	0.016195433120902603
second_set_arizona	Bacteroides	first_set_anschutz	rel_abund	31	105	-8.398654565843135	4.516232143079095e-17	1.3548696429237285e-16	****	0.3623		1	3	0.1060396842446843	0.013131795627124656	0.09290788861755964	0.09290788861755964
second_set_arizona	Bacteroides	new_exp_anschutz	rel_abund	50	105	-2.1126783309039445	0.034628309199301065	0.034628309199301065	*	0.40388		2	3	0.027304368089546432	0.013131795627124656	0.014172572462421776	0.014172572462421776
second_set_arizona	Enterococcus	new_exp_anschutz	rel_abund	50	105	-0.3989060858191243	0.6899624047779874	0.6899624047779874	ns	0.0029600000000000004		2	3	9.686236078496628e-5	1.2489991091960945e-4	-2.8037550134643165e-5	0
second_set_arizona	Enterococcus	first_set_anschutz	rel_abund	31	105	1.9077080411269285	0.056428961847076506	0.08464344277061475	ns	0.0026000000000000003		1	3	2.4414328021133612e-5	1.2489991091960945e-4	-1.0048558289847584e-4	0
second_set_arizona	Escherichia-Shigella	first_set_anschutz	rel_abund	31	105	-1.131430720775884	0.25787384736064195	0.25787384736064195	ns	0.052000000000000005		1	3	2.375344888698724e-5	6.826283691342452e-6	1.692716519564479e-5	0
second_set_arizona	Escherichia-Shigella	new_exp_anschutz	rel_abund	50	105	-5.803184534511581	6.506711231942307e-9	1.952013369582692e-8	****	0.0592		2	3	0.0016678807713934709	6.826283691342452e-6	0.0016610544877021284	0.0016610544877021284
second_set_arizona	Lactobacillus	first_set_anschutz	rel_abund	31	105	8.907832941267046	5.203973438858342e-19	1.5611920316575026e-18	****	0.8594999999999999		1	3	0.01590833013424254	0.4051471957258134	-0.3892388655915709	-0.3892388655915709
second_set_arizona	Lactobacillus	new_exp_anschutz	rel_abund	50	105	2.087263570596632	0.036864315861371746	0.036864315861371746	*	0.9702		2	3	0.35254071618894417	0.4051471957258134	-0.052606479536869255	-0.052606479536869255
second_set_arizona	Muribaculaceae	first_set_anschutz	rel_abund	31	105	8.691864403748644	3.565394671272247e-18	1.0696184013816742e-17	****	0.4162		1	3	0.03909537974959245	0.25559841476713235	-0.2165030350175399	-0.2165030350175399
second_set_arizona	Muribaculaceae	new_exp_anschutz	rel_abund	50	105	6.3755180672540535	1.8234549054002328e-10	2.735182358100349e-10	****	0.43852		2	3	0.16710365281149	0.25559841476713235	-0.08849476195564235	-0.08849476195564235
second_set_arizona	Proteus	new_exp_anschutz	rel_abund	50	105	-2.8168722209429933	0.004849381461760126	0.004849381461760126	**	0.0014800000000000002		2	3	3.4428851121370386e-5	1e-6	3.342885112137039e-5	3.342885112137039e-5
second_set_arizona	Proteus	first_set_anschutz	rel_abund	31	105	-7.937334768266618	2.0657195721616493e-15	6.197158716484948e-15	****	0.0013000000000000002		1	3	3.3538233530813115e-4	1e-6	3.343823353081311e-4	3.343823353081311e-4
second_set_arizona	Staphylococcus	first_set_anschutz	rel_abund	31	105	5.487852481197927	4.06849605884386e-8	6.10274408826579e-8	****	0.65		1	3	2e-6	0.0050983605333864345	-0.005096360533386434	-0.005096360533386434
second_set_arizona	Staphylococcus	new_exp_anschutz	rel_abund	50	105	6.52845160328637	6.645307688159065e-11	1.9935923064477194e-10	****	0.74		2	3	2e-6	0.0050983605333864345	-0.005096360533386434	-0.005096360533386434
