#SampleID	diet	study	sample_date	day_post_inf	mouse_id	exp_#	mouse_tag	DNA_conc	amplified_conc	extraction_date	ext_#	plate	well
74.108.0816	LF/LF	7	8/16/2022	0	108			7.6	162.4		5	2	B08
75.108.0819	LF/LF	7	8/19/2022	3	108			25.8	149.84		6	1	E02
71.109.0801	LF/LF	7	8/1/2022	-15	109			22.6	119.19		3	1	E10
74.109.0816	LF/LF	7	8/16/2022	0	109			19.3	135.81		6	1	F07
75.109.0819	LF/LF	7	8/19/2022	3	109			45.7	144.69		6	1	B01
71.110.0801	HF/LF	7	8/1/2022	-15	110			15.9	131.43		4	1	G12
74.110.0816	HF/LF	7	8/16/2022	0	110			3	115.37		6	2	C11
71.111.0801	HF/LF	7	8/1/2022	-15	111			12.8	130.43		4	1	H11
72.111.0808	HF/LF	7	8/8/2022	-8	111			57.1	132.21		4	1	A04
73.111.0813	HF/LF	7	8/13/2022	-3	111			2.6	125.96		5	2	C12
74.111.0816	HF/LF	7	8/16/2022	0	111			2.6	109.89		6	2	D01
71.112.0801	HF/LF	7	8/1/2022	-15	112			13.6	132.06		4	1	H06
72.112.0808	HF/LF	7	8/8/2022	-8	112			58.5	129.53		4	1	A03
73.112.0813	HF/LF	7	8/13/2022	-3	112			4.7	115.93		5	2	C03
71.113.0801	HF/LF	7	8/1/2022	-15	113			20.6	9.32		4	1	F04
72.113.0808	HF/LF	7	8/8/2022	-8	113			50	125.13		4	1	A08
73.113.0813	HF/LF	7	8/13/2022	-3	113			2.1	148.86		5	2	D06
74.113.0816	HF/LF	7	8/16/2022	0	113			14.2	147.32		6	1	H04
75.113.0819	HF/LF	7	8/19/2022	3	113			40.5	145.09		6	1	B11
71.114.0801	Chow	7	8/1/2022	-15	114			17.3	127.69		4	1	G05
72.114.0808	Chow	7	8/8/2022	-8	114			3.3	159.92		4	2	C07
73.114.0813	Chow	7	8/13/2022	-3	114			8.8	169.6		5	2	B06
74.114.0816	Chow	7	8/16/2022	0	114			17	125.62		6	1	G07
75.114.0819	Chow	7	8/19/2022	3	114			28.6	124.4		6	1	D09
71.115.0801	Chow	7	8/1/2022	-15	115			9.6	135.38		4	2	B01
72.115.0808	Chow	7	8/8/2022	-8	115			43.9	142.21		4	1	B04
73.115.0813	Chow	7	8/13/2022	-3	115			20	145.52		5	1	F05
74.115.0816	Chow	7	8/16/2022	0	115			43.4	132.89		6	1	B05
75.115.0819	Chow	7	8/19/2022	3	115			15.1	144.18		6	1	H02
71.116.0801	Chow	7	8/1/2022	-15	116			19.1	118.46		4	1	F09
72.116.0808	Chow	7	8/8/2022	-8	116			17.5	119.57		4	1	G02
74.116.0816	Chow	7	8/16/2022	0	116			41.2	137.23		6	1	B08
75.116.0819	Chow	7	8/19/2022	3	116			29.7	124.79		6	1	D08
71.117.0801	Chow	7	8/1/2022	-15	117			23.6	110.02		4	1	E08
73.117.0813	Chow	7	8/13/2022	-3	117			35.2	149.53		5	1	C12
74.117.0816	Chow	7	8/16/2022	0	117			37	134.16		6	1	C10
75.117.0819	Chow	7	8/19/2022	3	117			20.7	135.95		6	1	F03
71.118.0801	Chow	7	8/1/2022	-15	118			30	118.51		4	1	D07
61.9961.0627	Chow	6	6/27/2022	-15	9961			21.4	119		1	1	E11
62.9961.0704	Chow	6	7/4/2022	-8	9961			34.4	122.6		1	1	D03
63.9961.0709	Chow	6	7/9/2022	-3	9961			10.3	149.88		2	2	A11
64.9961.0712	Chow	6	7/12/2022	0	9961			30.7	128.48		3	1	D06
61.9962.0627	Chow	6	6/27/2022	-15	9962			60	142.52		1	1	A01
62.9962.0704	Chow	6	7/4/2022	-8	9962			12.5	129.74		1	2	A05
63.9962.0709	Chow	6	7/9/2022	-3	9962			34.3	141.67		2	1	D04
64.9962.0712	Chow	6	7/12/2022	0	9962			57	145.62		3	1	A05
61.9963.0627	Chow	6	6/27/2022	-15	9963			27.2	114.59		1	1	D12
62.9963.0704	Chow	6	7/4/2022	-8	9963			38.4	128.19		1	1	C05
63.9963.0709	Chow	6	7/9/2022	-3	9963			23.6	140.6		2	1	E07
64.9963.0712	Chow	6	7/12/2022	0	9963			49.9	142.64		3	1	A09
61.9964.0627	Chow	6	6/27/2022	-15	9964			8.9	136.89		1	2	B05
62.9964.0704	Chow	6	7/4/2022	-8	9964			44	143.59		1	1	B03
63.9964.0709	Chow	6	7/9/2022	-3	9964			38.6	142.26		2	1	C04
64.9964.0712	Chow	6	7/12/2022	0	9964			25.5	150.35		3	1	E03
61.9965.0627	Chow	6	6/27/2022	-15	9965			22.9	132.22		1	1	E09
62.9965.0704	Chow	6	7/4/2022	-8	9965			27	135.73		1	1	E01
63.9965.0709	Chow	6	7/9/2022	-3	9965			40.2	132.8		2	1	B12
64.9965.0712	Chow	6	7/12/2022	0	9965			49.1	133.87		3	1	A10
61.9966.0627	LF/LF	6	6/27/2022	-15	9966			16.4	120.93		1	1	G09
62.9966.0704	LF/LF	6	7/4/2022	-8	9966			25.2	123.98		1	1	E04
63.9966.0709	LF/LF	6	7/9/2022	-3	9966			0.5	123.45		2	2	E02
64.9966.0712	LF/LF	6	7/12/2022	0	9966			2.2	131.44		2	2	D05
61.9967.0627	LF/LF	6	6/27/2022	-15	9967			34.1	114.96		1	1	D05
62.9967.0704	LF/LF	6	7/4/2022	-8	9967			18.7	124.68		1	1	F11
63.9967.0709	LF/LF	6	7/9/2022	-3	9967			4.7	157.9		2	2	C02
64.9967.0712	LF/LF	6	7/12/2022	0	9967			17.3	142.09		2	1	G04
61.9968.0627	LF/LF	6	6/27/2022	-15	9968			12.5	146.21		1	2	A04
62.9968.0704	LF/LF	6	7/4/2022	-8	9968			9	141.93		1	2	B04
63.9968.0709	LF/LF	6	7/9/2022	-3	9968			1.8	154.26		2	2	D07
64.9968.0712	LF/LF	6	7/12/2022	0	9968			19.8	138.67		2	1	F06
61.9969.0627	LF/LF	6	6/27/2022	-15	9969			14.7	137.49		1	1	H03
62.9969.0704	LF/LF	6	7/4/2022	-8	9969			11.8	145.12		1	2	A07
63.9969.0709	LF/LF	6	7/9/2022	-3	9969			3.8	148.59		2	2	C04
64.9969.0712	LF/LF	6	7/12/2022	0	9969			19.1	129.96		2	1	F08
61.9970.0627	LF/LF	6	6/27/2022	-15	9970			11.5	148.71		1	2	A08
62.9970.0704	LF/LF	6	7/4/2022	-8	9970			23.8	120.4		1	1	E06
63.9970.0709	LF/LF	6	7/9/2022	-3	9970			2.5	111.68		2	2	D02
64.9970.0712	LF/LF	6	7/12/2022	0	9970			3.1	133.73		3	2	C09
61.9971.0627	HF/LF	6	6/27/2022	-15	9971			12.9	139.25		1	1	H10
63.9971.0709	HF/LF	6	7/9/2022	-3	9971			3.4	142.05		2	2	C06
64.9971.0712	HF/LF	6	7/12/2022	0	9971			6.1	140.7		3	2	C01
61.9972.0627	HF/LF	6	6/27/2022	-15	9972			9.2	154.75		1	2	B02
62.9972.0704	HF/LF	6	7/4/2022	-8	9972			10.3	144.14		2	2	A10
63.9972.0709	HF/LF	6	7/9/2022	-3	9972			3	140.59		2	2	C10
64.9972.0712	HF/LF	6	7/12/2022	0	9972			1.2	135.91		3	2	D12
61.9973.0627	HF/LF	6	6/27/2022	-15	9973			12.2	141.4		1	2	A06
62.9973.0704	HF/LF	6	7/4/2022	-8	9973			13.7	127.98		2	1	H05
63.9973.0709	HF/LF	6	7/9/2022	-3	9973			1.8	127.43		2	2	D08
64.9973.0712	HF/LF	6	7/12/2022	0	9973			1.6	136.34		3	2	D09
61.9974.0627	HF/LF	6	6/27/2022	-15	9974			9.1	140.45		1	2	B03
62.9974.0704	HF/LF	6	7/4/2022	-8	9974			36.3	126.65		2	1	C11
63.9974.0709	HF/LF	6	7/9/2022	-3	9974			2.2	122.17		2	2	D04
64.9974.0712	HF/LF	6	7/12/2022	0	9974			1.3	129.46		3	2	D11
61.9975.0627	HF/LF	6	6/27/2022	-15	9975			6.2	131.67		1	2	B12
62.9975.0704	HF/LF	6	7/4/2022	-8	9975			27.8	115.2		2	1	D10
63.9975.0709	HF/LF	6	7/9/2022	-3	9975			1.5	129.05		2	2	D10
64.9975.0712	HF/LF	6	7/12/2022	0	9975			1.1	68.05		3	2	E01
Mock_1A									7.21		1	2	E03
Mock_2A									7.63		2	2	E04
Mock_3A									10.16		3	2	E05
Mock_4A									16.55		4	2	E06
Mock_5A									15.22		5	2	E07
Mock_6A									8.22		6	2	E08
Mock_7A									10.56		7	2	E09
PCR Blank0									13.53			1	H12
PCR Blank1									19.11			2	E10
73.98.0813	LF/HF	7	8/13/2022	-3	98			12.7	162.8		45	2	H10
74.100.0816	LF/HF	7	8/8/2022	-8	100			6.9	173.5		45	2	H09
73.103.0813	HF/HF	7	8/13/2022	-3	103			12.8	194.7		45	2	H08
33.9831.0528	LF/HF	3	5/28/2022	-3	9831			20.9	136.3		1	1	F06
34.9831.0531	LF/HF	3	5/31/2022	0	9831			40	141		2	1	B10
33.9832.0528	LF/HF	3	5/28/2022	-3	9832			31.7	141.5		1	1	C10
34.9832.0531	LF/HF	3	5/31/2022	0	9832			18.5	145.9		2	1	G05
33.9833.0528	LF/HF	3	5/28/2022	-3	9833			32.7	139.3		1	1	C08
33.9834.0528	LF/HF	3	5/28/2022	-3	9834			31.3	169.4		1	1	C11
34.9834.0531	LF/HF	3	5/31/2022	0	9834			21.5	159.3		2	1	F02
33.9835.0528	LF/HF	3	5/28/2022	-3	9835			7.6	187.4		1	2	B07
34.9835.0531	LF/HF	3	5/31/2022	0	9835			2.1	152.3		2	2	E04
33.9836.0528	HF/HF	3	5/28/2022	-3	9836			4.9	173.1		2	2	C07
34.9836.0531	HF/HF	3	5/31/2022	0	9836			3.2	147.9		2	2	D04
33.9837.0528	HF/HF	3	5/28/2022	-3	9837			2.5	156.1		1	2	D11
34.9837.0531	HF/HF	3	5/31/2022	0	9837			13.3	150.8		2	2	A04
33.9838.0528	HF/HF	3	5/28/2022	-3	9838			2.6	173.6		1	2	D09
34.9838.0531	HF/HF	3	5/31/2022	0	9838			4.9	174.4		2	2	C05
33.9839.0528	HF/HF	3	5/28/2022	-3	9839			1.6	165.3		1	2	F04
34.9839.0531	HF/HF	3	5/31/2022	0	9839			5	143.6		2	2	C04
33.9840.0528	HF/HF	3	5/28/2022	-3	9840			3.7	167.3		1	2	C12
34.9840.0531	HF/HF	3	5/31/2022	0	9840			14.7	165.5		2	1	H10
33.9841.0528	LF/LF	3	5/28/2022	-3	9841			1.7	153.4		1	2	F01
34.9841.0531	LF/LF	3	5/31/2022	0	9841			1.1	158.9		2	2	G02
33.9842.0528	LF/LF	3	5/28/2022	-3	9842			1.8	140.9		1	2	E12
33.9843.0528	LF/LF	3	5/28/2022	-3	9843			4.2	161.2		1	2	C10
34.9843.0531	LF/LF	3	5/31/2022	0	9843			0.6	146.6		2	2	G11
33.9844.0528	LF/LF	3	5/28/2022	-3	9844			2	164		1	2	E05
34.9844.0531	LF/LF	3	5/31/2022	0	9844			1.8	150		2	2	E11
33.9845.0528	LF/LF	3	5/28/2022	-3	9845			1.9	161.9		1	2	E10
34.9845.0531	LF/LF	3	5/31/2022	0	9845			5.9	154.6		2	2	B11
33.9846.0528	HF/LF	3	5/28/2022	-3	9846			1.6	149.4		1	2	F02
34.9846.0531	HF/LF	3	5/31/2022	0	9846			1	165.3		2	2	G05
33.9847.0528	HF/LF	3	5/28/2022	-3	9847			2.3	156.4		1	2	E01
34.9847.0531	HF/LF	3	5/31/2022	0	9847			1.4	173.3		2	2	F10
33.9848.0528	HF/LF	3	5/28/2022	-3	9848			2.8	172.9		1	2	D06
34.9848.0531	HF/LF	3	5/31/2022	0	9848			1.1	147.9		2	2	F12
33.9849.0528	HF/LF	3	5/28/2022	-3	9849			1	153.7		1	2	G03
34.9849.0531	HF/LF	3	5/31/2022	0	9849			0.7	146.4		2	2	G10
34.9851.0531	HF/LF	3	5/31/2022	0	9851			2.6	165.4		2	2	D10
33.9857.0528	HF/LF	3	5/28/2022	-3	9851			5.4	146		1	2	B12
41.9871.0530	LF/HF	4	5/30/2022	-15	9871			12.9	163.2		3	2	A07
42.9871.0606	LF/HF	4	6/6/2022	-8	9871			6.1	145.9		3	2	B09
43.9871.0611	LF/HF	4	6/11/2022	-3	9871			21.1	154.4		5	1	F03
44.9871.0614	LF/HF	4	6/14/2022	0	9871			8.2	161.3		5	2	B03
41.9872.0530	LF/HF	4	5/30/2022	-15	9872			25.4	136.7		2	1	E05
42.9872.0606	LF/HF	4	6/6/2022	-8	9872			43	144.1		3	1	B04
43.9872.0611	LF/HF	4	6/11/2022	-3	9872			32.4	136.2		5	1	C09
44.9872.0614	LF/HF	4	6/14/2022	0	9872			7.8	192.2		5	2	B05
41.9873.0530	LF/HF	4	5/30/2022	-15	9873			52	145.5		3	1	A07
42.9873.0606	LF/HF	4	6/6/2022	-8	9873			59	152.2		3	1	A01
43.9873.0611	LF/HF	4	6/11/2022	-3	9873			29.3	147.6		5	1	D03
44.9873.0614	LF/HF	4	6/14/2022	0	9873			20.2	138.3		5	1	F10
41.9874.0530	LF/HF	4	5/30/2022	-15	9874			35	145.5		3	1	C04
42.9874.0606	LF/HF	4	6/6/2022	-8	9874			22.2	138.3		4	1	E10
43.9874.0611	LF/HF	4	6/11/2022	-3	9874			49.6	165.1		5	1	A09
44.9874.0614	LF/HF	4	6/14/2022	0	9874			2.9	162.1		5	2	D05
41.9875.0530	LF/HF	4	5/30/2022	-15	9875			17.6	131.1		3	1	G08
42.9875.0606	LF/HF	4	6/6/2022	-8	9875			42.7	125.1		3	1	B07
43.9875.0611	LF/HF	4	6/11/2022	-3	9875			34.4	161		5	1	C05
44.9875.0614	LF/HF	4	6/14/2022	0	9875			27.9	138.5		5	1	D07
41.9876.0530	HF/HF	4	5/30/2022	-15	9876			17.5	136.8		3	1	G09
42.9876.0606	HF/HF	4	6/6/2022	-8	9876			40.6	126.1		4	1	B08
43.9876.0611	HF/HF	4	6/11/2022	-3	9876			14	157.4		4	2	A03
44.9876.0614	HF/HF	4	6/14/2022	0	9876			42.7	144.9		5	1	B06
41.9877.0530	HF/HF	4	5/30/2022	-15	9877			39.7	145.3		3	1	B11
42.9877.0606	HF/HF	4	6/6/2022	-8	9877			6.5	155.7		3	2	B08
43.9877.0611	HF/HF	4	6/11/2022	-3	9877			15.3	147.5		4	1	H08
44.9877.0614	HF/HF	4	6/14/2022	0	9877			12.7	187.2		6	2	A08
41.9878.0530	HF/HF	4	5/30/2022	-15	9878			52	150.3		3	1	A08
42.9878.0606	HF/HF	4	6/6/2022	-8	9878			24.7	127.4		4	1	E06
43.9878.0611	HF/HF	4	6/11/2022	-3	9878			5.9	176		4	2	B10
44.9878.0614	HF/HF	4	6/14/2022	0	9878			18.3	98.3		6	1	G06
41.9879.0530	HF/HF	4	5/30/2022	-15	9879			30.2	160.4		3	1	C12
42.9879.0606	HF/HF	4	6/6/2022	-8	9879			29.2	140.6		4	1	D04
43.9879.0611	HF/HF	4	6/11/2022	-3	9879			5.3	174.1		4	2	C02
44.9879.0614	HF/HF	4	6/14/2022	0	9879			4.9	191.9		6	2	C06
41.9880.0530	HF/HF	4	5/30/2022	-15	9880			16.9	143.9		3	1	H01
42.9880.0606	HF/HF	4	6/6/2022	-8	9880			36.5	138.9		4	1	C01
43.9880.0611	HF/HF	4	6/11/2022	-3	9880			8.9	182.3		4	2	B01
44.9880.0614	HF/HF	4	6/14/2022	0	9880			34.2	138.1		6	1	C06
41.9881.0530	LF/LF	4	5/30/2022	-15	9881			17.4	131.3		3	1	G10
42.9881.0606	LF/LF	4	6/6/2022	-8	9881			22.1	152.7		4	1	E11
43.9881.0611	LF/LF	4	6/11/2022	-3	9881			2	167.7		4	2	E06
44.9881.0614	LF/LF	4	6/14/2022	0	9881			1.5	180.8		6	2	F05
41.9882.0530	LF/LF	4	5/30/2022	-15	9882			18.6	158.6		3	1	G02
42.9882.0606	LF/LF	4	6/6/2022	-8	9882			18.5	135.1		4	1	G03
43.9882.0611	LF/LF	4	6/11/2022	-3	9882			2.7	165.6		4	2	D08
44.9882.0614	LF/LF	4	6/14/2022	0	9882			21	149.3		5	1	F05
41.9883.0530	LF/LF	4	5/30/2022	-15	9883			44.9	150.6		3	1	B03
42.9883.0606	LF/LF	4	6/6/2022	-8	9883			27	135.3		4	1	D11
43.9883.0611	LF/LF	4	6/11/2022	-3	9883			3.8	125		4	2	C11
44.9883.0614	LF/LF	4	6/14/2022	0	9883			3.6	168.1		5	2	D01
41.9884.0530	LF/LF	4	5/30/2022	-15	9884			16	151.1		3	1	H04
42.9884.0606	LF/LF	4	6/6/2022	-8	9884			28.7	123.3		4	1	D05
43.9884.0611	LF/LF	4	6/11/2022	-3	9884			1.4	161.4		4	2	F07
44.9884.0614	LF/LF	4	6/14/2022	0	9884			1.1	173.1		6	2	G01
41.9885.0530	LF/LF	4	5/30/2022	-15	9885			14.6	150.3		3	1	H11
42.9885.0606	LF/LF	4	6/6/2022	-8	9885			18.5	130.4		4	1	G04
43.9885.0611	LF/LF	4	6/11/2022	-3	9885			1.1	144.9		5	2	F11
44.9885.0614	LF/LF	4	6/14/2022	0	9885			14.1	174.8		5	2	A01
41.9886.0530	HF/LF	4	5/30/2022	-15	9886			19.5	161.1		3	1	F12
42.9886.0606	HF/LF	4	6/6/2022	-8	9886			23.8	112.3		4	1	E08
43.9886.0611	HF/LF	4	6/11/2022	-3	9886			2	51		5	2	E09
44.9886.0614	HF/LF	4	6/14/2022	0	9886			20.1	162.8		5	1	F11
41.9887.0530	HF/LF	4	5/30/2022	-15	9887			35.8	138.6		2	1	C03
42.9887.0606	HF/LF	4	6/6/2022	-8	9887			25.7	150.6		4	1	E04
43.9887.0611	HF/LF	4	6/11/2022	-3	9887			0.9	131.3		5	2	G07
44.9887.0614	HF/LF	4	6/14/2022	0	9887			2.2	160.7		5	2	E02
41.9888.0530	HF/LF	4	5/30/2022	-15	9888			42.8	147.4		2	1	B05
42.9888.0606	HF/LF	4	6/6/2022	-8	9888			19.2	147.6		4	1	G01
43.9888.0611	HF/LF	4	6/11/2022	-3	9888			0.9	161.5		5	2	G08
44.9888.0614	HF/LF	4	6/14/2022	0	9888			2	169.3		6	2	E08
41.9889.0530	HF/LF	4	5/30/2022	-15	9889			59	157.9		2	1	A02
42.9889.0606	HF/LF	4	6/6/2022	-8	9889			28.6	123.4		3	1	D06
43.9889.0611	HF/LF	4	6/11/2022	-3	9889			1.5	181.6		5	2	F06
44.9889.0614	HF/LF	4	6/14/2022	0	9889			45.4	171.6		5	1	B02
41.9890.0530	HF/LF	4	5/30/2022	-15	9890			21.5	146.5		3	1	F01
42.9890.0606	HF/LF	4	6/6/2022	-8	9890			16.9	139.5		3	1	G12
43.9890.0611	HF/LF	4	6/11/2022	-3	9890			1	159.7		5	2	G04
44.9890.0614	HF/LF	4	6/14/2022	0	9890			5.3	173.5		5	2	C01
51.9939.0613	Chow	5	6/13/2022	-15	9939			8.7	160.1		6	2	B02
52.9939.0620	Chow	5	6/20/2022	-8	9939			21	120.7		7	1	F04
53.9939.0625	Chow	5	6/25/2022	-3	9939			16.3	157.1		8	1	H03
54.9939.0628	Chow	5	6/28/2022	0	9939			27.6	135.5		8	1	D08
51.9940.0613	Chow	5	6/13/2022	-15	9940			36.9	138.8		6	1	B12
52.9940.0620	Chow	5	6/20/2022	-8	9940			15.8	156.7		7	1	H05
53.9940.0625	Chow	5	6/25/2022	-3	9940			20.3	145.9		8	1	F09
54.9940.0628	Chow	5	6/28/2022	0	9940			40.1	148.4		8	1	B09
51.9941.0613	Chow	5	6/13/2022	-15	9941			36	151.5		6	1	C02
52.9941.0620	Chow	5	6/20/2022	-8	9941			49.1	148.8		7	1	A11
53.9941.0625	Chow	5	6/25/2022	-3	9941			30	151.3		8	1	D01
54.9941.0628	Chow	5	6/28/2022	0	9941			58	161.9		8	1	A03
51.9942.0613	Chow	5	6/13/2022	-15	9942			53	146.6		6	1	A06
52.9942.0620	Chow	5	6/20/2022	-8	9942			18	130.2		7	1	G07
53.9942.0625	Chow	5	6/25/2022	-3	9942			27.2	139.7		8	1	D10
54.9942.0628	Chow	5	6/28/2022	0	9942			49.3	145.2		8	1	A10
51.9943.0613	Chow	5	6/13/2022	-15	9943			57	170.2		6	1	A04
52.9943.0620	Chow	5	6/20/2022	-8	9943			26.8	137.8		7	1	D12
53.9943.0625	Chow	5	6/25/2022	-3	9943			29.5	153		8	1	D02
54.9943.0628	Chow	5	6/28/2022	0	9943			17.1	159		8	1	G11
51.9944.0613	LF/LF	5	6/13/2022	-15	9944			13.1	191		6	2	A06
52.9944.0620	LF/LF	5	6/20/2022	-8	9944			9.1	137.1		7	2	A12
53.9944.0625	LF/LF	5	6/25/2022	-3	9944			1.4	168.4		7	2	F08
54.9944.0628	LF/LF	5	6/28/2022	0	9944			14	164.9		8	2	A02
51.9945.0613	LF/LF	5	6/13/2022	-15	9945			15.5	129.9		6	1	H07
52.9945.0620	LF/LF	5	6/20/2022	-8	9945			11.6	153.7		7	2	A10
53.9945.0625	LF/LF	5	6/25/2022	-3	9945			54	186.3		7	1	A05
54.9945.0628	LF/LF	5	6/28/2022	0	9945			24.1	144.4		8	1	E07
51.9946.0613	LF/LF	5	6/13/2022	-15	9946			16.6	144.6		6	1	H02
52.9946.0620	LF/LF	5	6/20/2022	-8	9946			12.3	182.3		7	2	A09
53.9946.0625	LF/LF	5	6/25/2022	-3	9946			4.2	178.9		7	2	C09
54.9946.0628	LF/LF	5	6/28/2022	0	9946			23.2	147.2		8	1	E09
51.9947.0613	LF/LF	5	6/13/2022	-15	9947			27.6	133		6	1	D09
52.9947.0620	LF/LF	5	6/20/2022	-8	9947			9.3	131.2		7	2	A11
53.9947.0625	LF/LF	5	6/25/2022	-3	9947			1	165.8		7	2	G06
54.9947.0628	LF/LF	5	6/28/2022	0	9947			1.4	174.3		8	2	F09
51.9948.0613	LF/LF	5	6/13/2022	-15	9948			26.2	151.6		6	1	E01
52.9948.0620	LF/LF	5	6/20/2022	-8	9948			15.8	123.2		7	1	H06
53.9948.0625	LF/LF	5	6/25/2022	-3	9948			8.1	155.9		7	2	B04
54.9948.0628	LF/LF	5	6/28/2022	0	9948			47.9	166.6		8	1	A12
51.9949.0613	HF/LF	5	6/13/2022	-15	9949			26	157.2		6	1	E02
52.9949.0620	HF/LF	5	6/20/2022	-8	9949			33	124.6		6	1	C07
53.9949.0625	HF/LF	5	6/25/2022	-3	9949			1.6	152.4		7	2	F03
54.9949.0628	HF/LF	5	6/28/2022	0	9949			3.3	153.8		8	2	D03
51.9950.0613	HF/LF	5	6/13/2022	-15	9950			20.5	127.4		6	1	F08
52.9950.0620	HF/LF	5	6/20/2022	-8	9950			7.7	176.6		7	2	B06
53.9950.0625	HF/LF	5	6/25/2022	-3	9950			2.7	174.1		8	2	D07
54.9950.0628	HF/LF	5	6/28/2022	0	9950			3.4	160.3		8	2	D02
51.9951.0613	HF/LF	5	6/13/2022	-15	9951			45.9	144.6		6	1	B01
52.9951.0620	HF/LF	5	6/20/2022	-8	9951			13.2	175.7		7	2	A05
53.9951.0625	HF/LF	5	6/25/2022	-3	9951			2	168.5		7	2	E07
54.9951.0628	HF/LF	5	6/28/2022	0	9951			2.1	159.9		8	2	E03
51.9952.0613	HF/LF	5	6/13/2022	-15	9952			26	142		6	1	E03
52.9952.0620	HF/LF	5	6/20/2022	-8	9952			21.9	137.9		7	1	E12
53.9952.0625	HF/LF	5	6/25/2022	-3	9952			5.1	141.9		7	2	C03
54.9952.0628	HF/LF	5	6/28/2022	0	9952			4.8	179.8		8	2	C08
51.9953.0613	HF/LF	5	6/13/2022	-15	9953			14.7	138.3		6	1	H09
52.9953.0620	HF/LF	5	6/20/2022	-8	9953			20.7	128.3		7	1	F07
53.9953.0625	HF/LF	5	6/25/2022	-3	9953			2.4	151.4		7	2	D12
54.9953.0628	HF/LF	5	6/28/2022	0	9953			0.8	168.5		8	2	G09
Mock_7									26.4		7	2	H01
Mock_6									15.9		6	2	H02
Mock_5									17.9		5	2	H03
Mock_4									15.2		4	2	H04
PCR blank									19.1			2	H11
